year,month,SD_70,SL_70,SL_70_log10,fyear_CS,monthly_sunspots,std,observations,date,smoothed_sunspots,cycle,SD_70*10,proton_density,proton_temp,He4toprotons,proton_speed,PC1,PC2
2010,10,13.340659,300.06955,2.4772219269879074,2010.79,33.6,3.9,501,2010-10-01,43.33666666666667,24,133.40659,2.103342857142857,168019.24285714285,0.03046142857142857,625.2314285714285,2.186781874564694,0.1991421661453731
2010,11,11.412979,81.018036,1.908581711018628,2010.874,34.4,3.7,404,2010-11-01,45.06499999999999,24,114.12979,5.421654411764706,75777.97867647058,0.06518308823529412,452.83485294117645,-0.3036272328085171,1.5489982796084245
2010,12,15.256924,148.367004,2.1713373269938105,2010.958,24.5,3.6,393,2010-12-01,46.99166666666667,24,152.56924,5.637176991150442,90642.15486725664,0.024423893805309734,431.08039823008846,-0.15560396670144874,-0.3248217109426315
2011,1,14.183201,58.136005,1.7644451845367985,2011.042,27.3,3.1,417,2011-01-01,48.18333333333333,24,141.83201,4.641698863636363,87408.04204545455,0.036140625,456.1937215909091,0.016629573003194113,0.29434378478034295
2011,2,17.84341,97.347908,1.988326622997105,2011.123,48.3,5.1,399,2011-02-01,49.61000000000001,24,178.4341,2.6199428571428576,57603.1,0.03608,416.42442857142856,-0.38551705847983603,0.46127839128003806
2011,3,19.9071585,1196.1193235,2.9999226188588297,2011.204,78.6,6.9,566,2011-03-01,51.135,24,199.07158500000003,9.36415,29061.75,0.00571,377.8985,-1.324195880826451,-1.3246778119131055
2011,4,,,,2011.288,76.1,6.2,557,2011-04-01,52.02333333333333,24,,5.7672,150903.63333333333,0.008836666666666666,538.9956666666666,1.2276587187491195,-1.0566621729343828
2011,5,18.968792,99.232452,1.9966537227563894,2011.371,58.2,5.0,607,2011-05-01,53.86,24,189.68792000000002,5.432823529411765,99780.11764705883,0.08345882352941177,511.39176470588234,0.2538282491501865,2.3592547261215895
2011,6,20.674109,534.193115,2.7276982862746895,2011.455,56.1,5.0,544,2011-06-01,55.64833333333333,24,206.74109,4.768275590551181,92397.49212598425,0.04180826771653543,467.55082677165353,0.10902438365459666,0.5360984261151361
2011,7,21.23848,1118.105103,3.0484826295857315,2011.538,64.5,4.8,549,2011-07-01,57.70166666666667,24,212.38479999999998,5.076408163265306,101023.92176870749,0.03155,447.85952380952386,0.07355802710812415,0.02232329616347144
2011,8,20.143932,146.076477,2.164580286217676,2011.623,65.8,5.6,605,2011-08-01,59.629999999999995,24,201.43932,2.319659090909091,43084.42272727273,0.016679545454545454,475.16409090909093,-0.0063736846247149205,-0.28824393494143635
